,Stock,Alpha,Beta,ri-rf,股票代码
1336,603738.0,-0.16593383118091498,0.260021500727621,-0.205072625,60000
1337,603757.0,-0.05455261939039546,0.751245668390444,-0.14836106666666668,60000
1338,603758.0,0.095170455188515,1.401230934082232,-0.0815892222222222,60000
1339,603766.0,0.019795489160322366,1.2834642127601694,-0.15460517647058825,60000
1340,603767.0,-0.1619587707199112,0.21923026184132058,-0.1906783157894737,60000
1341,603768.0,-0.016141131195524794,0.8527470805651217,-0.15990606944444444,60000
1342,603773.0,-0.11191303182829611,0.396067801989242,-0.16504605555555557,60000
1343,603776.0,-0.15467946874592126,0.19174508145628943,-0.17957438095238099,60000
1344,603777.0,-0.1401762714990347,0.4242303028454618,-0.20403200000000002,60000
1345,603778.0,-0.041846450872245367,1.0667905185717486,-0.18909281249999998,60000
1346,603779.0,-0.036060830677175,1.062650827532909,-0.1712362692307692,60000
1347,603787.0,-0.20613605405799595,-0.7237816753779345,-0.11313119444444444,60000
1348,603788.0,-0.0958479438035734,0.1526172514842586,-0.11492583870967742,60000
1349,603789.0,0.13119677603457564,1.7164752800054486,-0.09174650000000002,60000
1350,603790.0,0.061228800619432366,1.4047576353368998,-0.12971661702127657,60000
1351,603797.0,-0.051279209305774884,0.27451851708938874,-0.08931852272727273,60000
1352,603798.0,-0.26249940361183816,0.04173037623978188,-0.26945833333333336,60000
1353,603799.0,-0.0950666727687741,0.45258937840645097,-0.15385095000000001,60000
1354,603800.0,-0.11047718151286094,0.31632267591490026,-0.14996996875000002,60000
1355,603801.0,0.16025811280622976,1.5558031966147194,-0.05121857446808511,60000
1356,603803.0,0.03949129798162826,1.479328709703619,-0.1506002222222222,60000
1357,603806.0,0.12060658831784477,1.9002584103695523,-0.13431561111111112,60000
1358,603808.0,-0.16306339016603122,0.08777816445144292,-0.1744644,60000
1359,603809.0,-0.008377953416215833,0.9502281599584719,-0.13807921568627451,60000
1360,603810.0,0.015162105372144102,1.0249111048119832,-0.12754190476190477,60000
1361,603811.0,-0.13091576462829954,0.24823966366957273,-0.16689376923076926,60000
1362,603813.0,-0.05156986002433983,0.8417288386196884,-0.191936,60000
1363,603816.0,-0.14275350686956942,0.12515027712773352,-0.1590021904761905,60000
1364,603817.0,0.1729349833005703,2.334601186771646,-0.15205846666666664,60000
1365,603818.0,0.008339092092084638,1.060650736221444,-0.12658192307692312,60000
1366,603819.0,0.014102786960842634,1.0750728202126771,-0.1251515909090909,60000
1367,603822.0,0.03598467152727276,0.9991184385154974,-0.10307811627906975,60000
1368,603823.0,-0.4002984886859248,-2.311651580208662,-0.10036484,60000
1369,603825.0,0.035967208137142895,0.9704913578387846,-0.08104279310344827,60000
1370,603826.0,-0.0829785260491416,0.5119042728272994,-0.14814383333333334,60000
1371,603828.0,-0.1384031706706778,0.18550933923414725,-0.1637111538461538,60000
1372,603829.0,-0.15264845847028724,-0.15587450274253392,-0.13240280000000001,60000
1373,603833.0,0.0015535488079761184,0.9554833452676603,-0.12383244186046513,60000
1374,603838.0,0.000534678429312041,1.3072244394405874,-0.18699385714285713,60000
1375,603839.0,0.09207346548357614,1.6930288216124252,-0.12773819047619048,60000
1376,603843.0,0.06696810466432676,1.6113182601211598,-0.14329575000000003,60000
1377,603848.0,0.02234812525795038,1.4125359185065007,-0.1606179090909091,60000
1378,603855.0,0.00027131867095489537,1.2104323264033454,-0.1499395,60000
1379,603856.0,0.0865390996594115,1.5635083826224607,-0.14358366666666667,60000
1380,603858.0,-0.06681635672547902,0.6396605517949735,-0.15061299999999997,60000
1381,603859.0,0.06551196146779706,1.4019580988509575,-0.13767738461538465,60000
1382,603860.0,-0.03677340662918335,1.0169354636072998,-0.1687194,60000
1383,603861.0,0.23593440200852497,2.527354186934884,-0.08555992307692309,60000
1384,603866.0,-0.1594350411220638,0.0161531932948925,-0.161664625,60000
1385,603868.0,0.04494946724516366,1.4076854449835352,-0.1336025806451613,60000
1386,603869.0,-0.06366060264041858,0.3940323352120694,-0.11429316666666667,60000
1387,603871.0,0.015320057022024436,1.1727501882775995,-0.13109743750000002,60000
1388,603876.0,0.18233054433511922,2.0405816078515824,-0.08989888095238094,60000
1389,603877.0,0.06243120636306129,1.4435801181935866,-0.1569641,60000
